Date,Borough,Pool,Attendance
06/29/2017,Brooklyn,Betsy Head,1107
06/29/2017,Brooklyn,PS 20 Playground,195
06/29/2017,Brooklyn,Lindower Park,140
06/29/2017,Brooklyn,JHS 57/HS 26 Pool,0
06/29/2017,Brooklyn,Glenwood Houses,50
06/29/2017,Brooklyn,David Fox/PS 251 Pool,194
06/29/2017,Brooklyn,McCarren Park,2526
06/29/2017,Brooklyn,Sunset Park,2124
06/29/2017,Brooklyn,Red Hook,807
06/29/2017,Brooklyn,Kosciuszko,988
06/29/2017,Brooklyn,Howard,486
06/29/2017,Brooklyn,Douglas and DeGraw,515
06/29/2017,Brooklyn,Commodore Barry,527
06/29/2017,Brooklyn,Bushwick,0
06/29/2017,Bronx,Claremont,692
06/29/2017,Bronx,Edenwald Houses,224
06/29/2017,Bronx,Crotona,1652
06/29/2017,Bronx,Floating Pool,489
06/29/2017,Bronx,Haffen,588
06/29/2017,Bronx,Mapes,732
06/29/2017,Bronx,Mullaly,645
06/29/2017,Bronx,Van Cortlandt,1068
06/29/2017,Bronx,Bronx River Playground,170
06/29/2017,Manhattan,Asser Levy,448
06/29/2017,Manhattan,Tony Dapolito,450
06/29/2017,Manhattan,Dry Dock,618
06/29/2017,Manhattan,Hamilton Fish,2028
06/29/2017,Manhattan,Highbridge,3360
06/29/2017,Manhattan,Jackie Robinson,889
06/29/2017,Manhattan,John Jay,511
06/29/2017,Manhattan,Lasker,1910
06/29/2017,Manhattan,Marcus Garvey,619
06/29/2017,Manhattan,Sheltering Arms,325
06/29/2017,Manhattan,Thomas Jefferson,1007
06/29/2017,Manhattan,Wagner,319
06/29/2017,Manhattan,Abe Lincoln,74
06/29/2017,Manhattan,Frederick Douglass,42
06/29/2017,Manhattan,Vesuvio,188
06/29/2017,Manhattan,Tompkins Square,152
06/29/2017,Queens,Astoria,163
06/29/2017,Queens,Fisher,755
06/29/2017,Queens,Liberty,501
06/29/2017,Queens,Totten,470
06/29/2017,Queens,Marie Curie Park,106
06/29/2017,Queens,Astoria Hts PS 10,0
06/29/2017,Queens,PS 186 Playground,45
06/29/2017,Queens,Windmuller,414
06/29/2017,Staten Island,Faber,461
06/29/2017,Staten Island,Lyons,781
06/30/2017,Queens,Marie Curie Park,320
06/29/2017,Staten Island,Tottenville,255
06/29/2017,Staten Island,West Brighton,329
06/29/2017,Staten Island,General Douglas,0
06/29/2017,Staten Island,Mariner's Harbor,0
06/29/2017,Staten Island,PS 14 Playground,75
06/29/2017,Staten Island,PS 46 Playground,120
06/30/2017,Brooklyn,Betsy Head,1374
06/30/2017,Brooklyn,PS 20 Playground,0
06/30/2017,Brooklyn,Lindower Park,270
06/30/2017,Brooklyn,JHS 57/HS 26 Pool,0
06/30/2017,Brooklyn,Glenwood Houses,118
06/30/2017,Brooklyn,David Fox/PS 251 Pool,142
06/30/2017,Brooklyn,McCarren Park,3512
06/30/2017,Brooklyn,Sunset Park,2684
06/30/2017,Brooklyn,Red Hook,1143
06/30/2017,Brooklyn,Kosciuszko,1326
06/30/2017,Brooklyn,Howard,241
06/30/2017,Brooklyn,Douglas and DeGraw,787
06/30/2017,Brooklyn,Commodore Barry,143
06/30/2017,Brooklyn,Bushwick,361
06/30/2017,Bronx,Claremont,697
06/30/2017,Bronx,Edenwald Houses,225
06/30/2017,Bronx,Crotona,3146
06/30/2017,Bronx,Floating Pool,691
06/30/2017,Bronx,Haffen,585
06/30/2017,Bronx,Mapes,923
06/30/2017,Bronx,Mullaly,695
06/30/2017,Bronx,Van Cortlandt,1356
06/30/2017,Bronx,Bronx River Playground,146
06/30/2017,Manhattan,Asser Levy,707
06/30/2017,Manhattan,Tony Dapolito,400
06/30/2017,Manhattan,Dry Dock,639
06/30/2017,Manhattan,Hamilton Fish,2282
06/30/2017,Manhattan,Highbridge,3032
06/30/2017,Manhattan,Jackie Robinson,1207
06/30/2017,Manhattan,John Jay,792
06/30/2017,Manhattan,Lasker,2416
06/30/2017,Manhattan,Marcus Garvey,793
06/30/2017,Manhattan,Sheltering Arms,387
06/30/2017,Manhattan,Thomas Jefferson,959
06/30/2017,Manhattan,Wagner,364
06/30/2017,Manhattan,Abe Lincoln,122
06/30/2017,Manhattan,Frederick Douglass,110
06/30/2017,Manhattan,Vesuvio,145
06/30/2017,Manhattan,Tompkins Square,168
06/30/2017,Queens,Astoria,2197
06/30/2017,Queens,Fisher,870
06/30/2017,Queens,Liberty,765
06/30/2017,Queens,Totten,599
06/30/2017,Queens,Astoria Hts PS 10,0
06/30/2017,Queens,PS 186 Playground,56
06/30/2017,Queens,Windmuller,448
06/30/2017,Staten Island,Faber,534
06/30/2017,Staten Island,Lyons,993
06/30/2017,Staten Island,Tottenville,352
06/30/2017,Staten Island,West Brighton,457
06/30/2017,Staten Island,General Douglas,32
06/30/2017,Staten Island,Mariner's Harbor,0
06/30/2017,Staten Island,PS 14 Playground,150
06/30/2017,Staten Island,PS 46 Playground,149
07/01/2017,Brooklyn,Betsy Head,634
07/01/2017,Brooklyn,PS 20 Playground,178
07/01/2017,Brooklyn,Lindower Park,254
07/01/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/01/2017,Brooklyn,Glenwood Houses,30
07/01/2017,Brooklyn,David Fox/PS 251 Pool,79
07/01/2017,Brooklyn,McCarren Park,1610
07/01/2017,Brooklyn,Sunset Park,1377
07/01/2017,Brooklyn,Red Hook,747
07/01/2017,Brooklyn,Kosciuszko,747
07/01/2017,Brooklyn,Howard,518
07/01/2017,Brooklyn,Douglas and DeGraw,482
07/01/2017,Brooklyn,Commodore Barry,569
07/01/2017,Brooklyn,Bushwick,182
07/01/2017,Bronx,Claremont,667
07/01/2017,Bronx,Edenwald Houses,140
07/01/2017,Bronx,Crotona,1594
07/01/2017,Bronx,Floating Pool,480
07/01/2017,Bronx,Haffen,370
07/01/2017,Bronx,Mapes,776
07/01/2017,Bronx,Mullaly,532
07/01/2017,Bronx,Van Cortlandt,948
07/01/2017,Bronx,Bronx River Playground,129
07/01/2017,Manhattan,Asser Levy,342
07/01/2017,Manhattan,Tony Dapolito,270
07/01/2017,Manhattan,Dry Dock,400
07/01/2017,Manhattan,Hamilton Fish,1060
07/01/2017,Manhattan,Highbridge,1760
07/01/2017,Manhattan,Jackie Robinson,774
07/01/2017,Manhattan,John Jay,469
07/01/2017,Manhattan,Lasker,1187
07/01/2017,Manhattan,Marcus Garvey,423
07/01/2017,Manhattan,Sheltering Arms,331
07/01/2017,Manhattan,Thomas Jefferson,784
07/01/2017,Manhattan,Wagner,301
07/01/2017,Manhattan,Abe Lincoln,66
07/01/2017,Manhattan,Frederick Douglass,99
07/01/2017,Manhattan,Vesuvio,158
07/01/2017,Manhattan,Tompkins Square,110
07/01/2017,Queens,Astoria,3106
07/01/2017,Queens,Fisher,0
07/01/2017,Queens,Liberty,338
07/01/2017,Queens,Totten,338
07/01/2017,Queens,Marie Curie Park,83
07/01/2017,Queens,Astoria Hts PS 10,0
07/01/2017,Queens,PS 186 Playground,60
07/01/2017,Queens,Windmuller,412
07/01/2017,Staten Island,Faber,215
07/01/2017,Staten Island,Lyons,407
07/01/2017,Staten Island,Tottenville,149
07/01/2017,Staten Island,West Brighton,177
07/01/2017,Staten Island,General Douglas,21
07/01/2017,Staten Island,Mariner's Harbor,0
07/01/2017,Staten Island,PS 14 Playground,105
07/01/2017,Staten Island,PS 46 Playground,65
07/02/2017,Brooklyn,Betsy Head,288
07/02/2017,Brooklyn,PS 20 Playground,255
07/02/2017,Brooklyn,Lindower Park,655
07/02/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/02/2017,Brooklyn,Glenwood Houses,66
07/02/2017,Brooklyn,David Fox/PS 251 Pool,160
07/02/2017,Brooklyn,McCarren Park,3691
07/02/2017,Brooklyn,Sunset Park,3138
07/02/2017,Brooklyn,Red Hook,2248
07/02/2017,Brooklyn,Kosciuszko,1640
07/02/2017,Brooklyn,Howard,468
07/02/2017,Brooklyn,Douglas and DeGraw,834
07/02/2017,Brooklyn,Commodore Barry,493
07/02/2017,Brooklyn,Bushwick,288
07/02/2017,Bronx,Claremont,783
07/02/2017,Bronx,Edenwald Houses,108
07/02/2017,Bronx,Crotona,5451
07/02/2017,Bronx,Floating Pool,973
07/02/2017,Bronx,Haffen,866
07/02/2017,Bronx,Mapes,950
07/02/2017,Bronx,Mullaly,762
07/02/2017,Bronx,Van Cortlandt,2427
07/02/2017,Bronx,Bronx River Playground,151
07/02/2017,Manhattan,Asser Levy,928
07/02/2017,Manhattan,Tony Dapolito,687
07/02/2017,Manhattan,Dry Dock,567
07/02/2017,Manhattan,Hamilton Fish,4120
07/02/2017,Manhattan,Highbridge,3645
07/02/2017,Manhattan,Jackie Robinson,1445
07/02/2017,Manhattan,John Jay,1116
07/02/2017,Manhattan,Lasker,4235
07/02/2017,Manhattan,Marcus Garvey,900
07/02/2017,Manhattan,Sheltering Arms,477
07/02/2017,Manhattan,Thomas Jefferson,1957
07/02/2017,Manhattan,Wagner,648
07/02/2017,Manhattan,Abe Lincoln,87
07/02/2017,Manhattan,Frederick Douglass,99
07/02/2017,Manhattan,Vesuvio,188
07/02/2017,Manhattan,Tompkins Square,164
07/02/2017,Queens,Astoria,2161
07/02/2017,Queens,Fisher,859
07/02/2017,Queens,Liberty,522
07/02/2017,Queens,Totten,957
07/02/2017,Queens,Marie Curie Park,136
07/02/2017,Queens,Astoria Hts PS 10,0
07/02/2017,Queens,PS 186 Playground,120
07/02/2017,Queens,Windmuller,374
07/02/2017,Staten Island,Faber,529
07/02/2017,Staten Island,Lyons,607
07/02/2017,Staten Island,Tottenville,365
07/02/2017,Staten Island,West Brighton,361
07/02/2017,Staten Island,General Douglas,42
07/02/2017,Staten Island,Mariner's Harbor,0
07/02/2017,Staten Island,PS 14 Playground,135
07/02/2017,Staten Island,PS 46 Playground,54
07/03/2017,Brooklyn,Betsy Head,1520
07/03/2017,Brooklyn,PS 20 Playground,310
07/03/2017,Brooklyn,Lindower Park,356
07/03/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/03/2017,Brooklyn,Glenwood Houses,45
07/03/2017,Brooklyn,David Fox/PS 251 Pool,290
07/03/2017,Brooklyn,McCarren Park,2866
07/03/2017,Brooklyn,Sunset Park,1432
07/03/2017,Brooklyn,Red Hook,1139
07/03/2017,Brooklyn,Kosciuszko,1318
07/03/2017,Brooklyn,Howard,270
07/03/2017,Brooklyn,Douglas and DeGraw,776
07/03/2017,Brooklyn,Commodore Barry,374
07/03/2017,Brooklyn,Bushwick,0
07/03/2017,Bronx,Claremont,772
07/03/2017,Bronx,Edenwald Houses,280
07/03/2017,Bronx,Crotona,3533
07/03/2017,Bronx,Floating Pool,733
07/03/2017,Bronx,Haffen,815
07/03/2017,Bronx,Mapes,935
07/03/2017,Bronx,Mullaly,747
07/03/2017,Bronx,Van Cortlandt,2312
07/03/2017,Bronx,Bronx River Playground,168
07/03/2017,Manhattan,Asser Levy,943
07/03/2017,Manhattan,Tony Dapolito,470
07/03/2017,Manhattan,Dry Dock,456
07/03/2017,Manhattan,Hamilton Fish,3086
07/03/2017,Manhattan,Highbridge,3206
07/03/2017,Manhattan,Jackie Robinson,1332
07/03/2017,Manhattan,John Jay,910
07/03/2017,Manhattan,Lasker,1994
07/03/2017,Manhattan,Marcus Garvey,771
07/03/2017,Manhattan,Sheltering Arms,515
07/03/2017,Manhattan,Thomas Jefferson,1577
07/03/2017,Manhattan,Wagner,464
07/03/2017,Manhattan,Abe Lincoln,116
07/03/2017,Manhattan,Frederick Douglass,62
07/03/2017,Manhattan,Vesuvio,134
07/03/2017,Manhattan,Tompkins Square,100
07/03/2017,Queens,Astoria,5050
07/03/2017,Queens,Fisher,733
07/03/2017,Queens,Liberty,559
07/03/2017,Queens,Totten,791
07/03/2017,Queens,Marie Curie Park,272
07/03/2017,Queens,Astoria Hts PS 10,0
07/03/2017,Queens,PS 186 Playground,55
07/03/2017,Queens,Windmuller,383
07/03/2017,Staten Island,Faber,610
07/03/2017,Staten Island,Lyons,1015
07/03/2017,Staten Island,Tottenville,351
07/03/2017,Staten Island,West Brighton,329
07/03/2017,Staten Island,General Douglas,41
07/03/2017,Staten Island,Mariner's Harbor,0
07/03/2017,Staten Island,PS 14 Playground,103
07/03/2017,Staten Island,PS 46 Playground,53
07/04/2017,Brooklyn,Betsy Head,691
07/04/2017,Brooklyn,PS 20 Playground,260
07/04/2017,Brooklyn,Lindower Park,378
07/04/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/04/2017,Brooklyn,Glenwood Houses,93
07/04/2017,Brooklyn,David Fox/PS 251 Pool,115
07/04/2017,Brooklyn,McCarren Park,3177
07/04/2017,Brooklyn,Sunset Park,2202
07/04/2017,Brooklyn,Red Hook,2096
07/04/2017,Brooklyn,Kosciuszko,910
07/04/2017,Brooklyn,Howard,392
07/04/2017,Brooklyn,Douglas and DeGraw,0
07/04/2017,Brooklyn,Commodore Barry,287
07/04/2017,Brooklyn,Bushwick,296
07/04/2017,Bronx,Claremont,807
07/04/2017,Bronx,Edenwald Houses,90
07/04/2017,Bronx,Crotona,3935
07/04/2017,Bronx,Floating Pool,1014
07/04/2017,Bronx,Haffen,905
07/04/2017,Bronx,Mapes,754
07/04/2017,Bronx,Mullaly,620
07/04/2017,Bronx,Van Cortlandt,2478
07/04/2017,Bronx,Bronx River Playground,114
07/04/2017,Manhattan,Asser Levy,577
07/04/2017,Manhattan,Tony Dapolito,255
07/04/2017,Manhattan,Dry Dock,343
07/04/2017,Manhattan,Hamilton Fish,2107
07/04/2017,Manhattan,Highbridge,2341
07/04/2017,Manhattan,Jackie Robinson,839
07/04/2017,Manhattan,John Jay,746
07/04/2017,Manhattan,Lasker,2649
07/04/2017,Manhattan,Marcus Garvey,683
07/04/2017,Manhattan,Sheltering Arms,368
07/04/2017,Manhattan,Thomas Jefferson,1444
07/04/2017,Manhattan,Wagner,383
07/04/2017,Manhattan,Abe Lincoln,92
07/04/2017,Manhattan,Frederick Douglass,98
07/04/2017,Manhattan,Vesuvio,149
07/04/2017,Manhattan,Tompkins Square,107
07/04/2017,Queens,Astoria,4005
07/04/2017,Queens,Fisher,1426
07/04/2017,Queens,Liberty,532
07/04/2017,Queens,Totten,812
07/04/2017,Queens,Marie Curie Park,99
07/04/2017,Queens,Astoria Hts PS 10,0
07/04/2017,Queens,PS 186 Playground,93
07/04/2017,Queens,Windmuller,159
07/04/2017,Staten Island,Faber,452
07/04/2017,Staten Island,Lyons,469
07/04/2017,Staten Island,Tottenville,370
07/04/2017,Staten Island,West Brighton,174
07/04/2017,Staten Island,General Douglas,42
07/04/2017,Staten Island,Mariner's Harbor,0
07/04/2017,Staten Island,PS 14 Playground,58
07/04/2017,Staten Island,PS 46 Playground,67
07/05/2017,Brooklyn,Betsy Head,0
07/05/2017,Brooklyn,PS 20 Playground,0
07/05/2017,Brooklyn,Lindower Park,180
07/05/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/05/2017,Brooklyn,Glenwood Houses,34
07/05/2017,Brooklyn,David Fox/PS 251 Pool,75
07/05/2017,Brooklyn,McCarren Park,1868
07/05/2017,Brooklyn,Sunset Park,1634
07/05/2017,Brooklyn,Red Hook,1014
07/05/2017,Brooklyn,Kosciuszko,574
07/05/2017,Brooklyn,Howard,181
07/05/2017,Brooklyn,Douglas and DeGraw,383
07/05/2017,Brooklyn,Commodore Barry,81
07/05/2017,Brooklyn,Bushwick,60
07/05/2017,Bronx,Claremont,498
07/05/2017,Bronx,Edenwald Houses,87
07/05/2017,Bronx,Crotona,1519
07/05/2017,Bronx,Floating Pool,437
07/05/2017,Bronx,Haffen,807
07/05/2017,Bronx,Mapes,585
07/05/2017,Bronx,Mullaly,480
07/05/2017,Bronx,Van Cortlandt,953
07/05/2017,Bronx,Bronx River Playground,122
07/05/2017,Manhattan,Asser Levy,305
07/05/2017,Manhattan,Tony Dapolito,270
07/05/2017,Manhattan,Dry Dock,204
07/05/2017,Manhattan,Hamilton Fish,1863
07/05/2017,Manhattan,Highbridge,2234
07/05/2017,Manhattan,Jackie Robinson,825
07/05/2017,Manhattan,John Jay,586
07/05/2017,Manhattan,Lasker,991
07/05/2017,Manhattan,Marcus Garvey,343
07/05/2017,Manhattan,Sheltering Arms,380
07/05/2017,Manhattan,Thomas Jefferson,1049
07/05/2017,Manhattan,Wagner,328
07/05/2017,Manhattan,Abe Lincoln,77
07/05/2017,Manhattan,Frederick Douglass,99
07/05/2017,Manhattan,Vesuvio,71
07/05/2017,Manhattan,Tompkins Square,40
07/05/2017,Queens,Astoria,4561
07/05/2017,Queens,Fisher,509
07/05/2017,Queens,Liberty,440
07/05/2017,Queens,Totten,383
07/05/2017,Queens,Marie Curie Park,87
07/05/2017,Queens,Astoria Hts PS 10,0
07/05/2017,Queens,PS 186 Playground,46
07/05/2017,Queens,Windmuller,414
07/05/2017,Staten Island,Faber,327
07/05/2017,Staten Island,Lyons,844
07/05/2017,Staten Island,Tottenville,180
07/05/2017,Staten Island,West Brighton,178
07/05/2017,Staten Island,General Douglas,14
07/05/2017,Staten Island,Mariner's Harbor,0
07/05/2017,Staten Island,PS 14 Playground,83
07/05/2017,Staten Island,PS 46 Playground,41
07/06/2017,Brooklyn,Betsy Head,304
07/06/2017,Brooklyn,PS 20 Playground,0
07/06/2017,Brooklyn,Lindower Park,152
07/06/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/06/2017,Brooklyn,Glenwood Houses,13
07/06/2017,Brooklyn,David Fox/PS 251 Pool,55
07/06/2017,Brooklyn,McCarren Park,887
07/06/2017,Brooklyn,Sunset Park,445
07/06/2017,Brooklyn,Red Hook,569
07/06/2017,Brooklyn,Kosciuszko,276
07/06/2017,Brooklyn,Howard,0
07/06/2017,Brooklyn,Douglas and DeGraw,108
07/06/2017,Brooklyn,Commodore Barry,118
07/06/2017,Brooklyn,Bushwick,50
07/06/2017,Bronx,Claremont,263
07/06/2017,Bronx,Edenwald Houses,53
07/06/2017,Bronx,Crotona,426
07/06/2017,Bronx,Floating Pool,87
07/06/2017,Bronx,Haffen,195
07/06/2017,Bronx,Mapes,404
07/06/2017,Bronx,Mullaly,196
07/06/2017,Bronx,Van Cortlandt,270
07/06/2017,Bronx,Bronx River Playground,87
07/06/2017,Manhattan,Asser Levy,400
07/06/2017,Manhattan,Tony Dapolito,160
07/06/2017,Manhattan,Dry Dock,86
07/06/2017,Manhattan,Hamilton Fish,808
07/06/2017,Manhattan,Highbridge,1227
07/06/2017,Manhattan,Jackie Robinson,218
07/06/2017,Manhattan,John Jay,176
07/06/2017,Manhattan,Lasker,300
07/06/2017,Manhattan,Marcus Garvey,111
07/06/2017,Manhattan,Sheltering Arms,300
07/06/2017,Manhattan,Thomas Jefferson,302
07/06/2017,Manhattan,Wagner,105
07/06/2017,Manhattan,Abe Lincoln,54
07/06/2017,Manhattan,Frederick Douglass,23
07/06/2017,Manhattan,Vesuvio,42
07/06/2017,Manhattan,Tompkins Square,24
07/06/2017,Queens,Astoria,2185
07/06/2017,Queens,Fisher,376
07/06/2017,Queens,Liberty,161
07/06/2017,Queens,Totten,261
07/06/2017,Queens,Marie Curie Park,63
07/06/2017,Queens,Astoria Hts PS 10,0
07/06/2017,Queens,PS 186 Playground,32
07/06/2017,Queens,Windmuller,281
07/06/2017,Staten Island,Faber,133
07/06/2017,Staten Island,Lyons,250
07/06/2017,Staten Island,Tottenville,72
07/06/2017,Staten Island,West Brighton,135
07/06/2017,Staten Island,General Douglas,17
07/06/2017,Staten Island,Mariner's Harbor,0
07/06/2017,Staten Island,PS 14 Playground,72
07/06/2017,Staten Island,PS 46 Playground,45
07/07/2017,Brooklyn,Betsy Head,131
07/07/2017,Brooklyn,PS 20 Playground,0
07/07/2017,Brooklyn,Lindower Park,196
07/07/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/07/2017,Brooklyn,Glenwood Houses,0
07/07/2017,Brooklyn,David Fox/PS 251 Pool,25
07/07/2017,Brooklyn,McCarren Park,330
07/07/2017,Brooklyn,Sunset Park,410
07/07/2017,Brooklyn,Red Hook,225
07/07/2017,Brooklyn,Kosciuszko,147
07/07/2017,Brooklyn,Howard,305
07/07/2017,Brooklyn,Douglas and DeGraw,117
07/07/2017,Brooklyn,Commodore Barry,349
07/07/2017,Brooklyn,Bushwick,85
07/07/2017,Bronx,Claremont,181
07/07/2017,Bronx,Edenwald Houses,21
07/07/2017,Bronx,Crotona,419
07/07/2017,Bronx,Floating Pool,59
07/07/2017,Bronx,Haffen,108
07/07/2017,Bronx,Mapes,205
07/07/2017,Bronx,Mullaly,186
07/07/2017,Bronx,Van Cortlandt,135
07/07/2017,Bronx,Bronx River Playground,68
07/07/2017,Manhattan,Asser Levy,92
07/07/2017,Manhattan,Tony Dapolito,70
07/07/2017,Manhattan,Dry Dock,81
07/07/2017,Manhattan,Hamilton Fish,180
07/07/2017,Manhattan,Highbridge,359
07/07/2017,Manhattan,Jackie Robinson,172
07/07/2017,Manhattan,John Jay,256
07/07/2017,Manhattan,Lasker,366
07/07/2017,Manhattan,Marcus Garvey,87
07/07/2017,Manhattan,Sheltering Arms,175
07/07/2017,Manhattan,Thomas Jefferson,100
07/07/2017,Manhattan,Wagner,93
07/07/2017,Manhattan,Abe Lincoln,32
07/07/2017,Manhattan,Frederick Douglass,18
07/07/2017,Manhattan,Vesuvio,71
07/07/2017,Manhattan,Tompkins Square,29
07/07/2017,Queens,Astoria,949
07/07/2017,Queens,Fisher,268
07/07/2017,Queens,Liberty,87
07/07/2017,Queens,Totten,149
07/07/2017,Queens,Marie Curie Park,63
07/07/2017,Queens,Astoria Hts PS 10,0
07/07/2017,Queens,PS 186 Playground,55
07/07/2017,Queens,Windmuller,95
07/07/2017,Staten Island,Faber,129
07/07/2017,Staten Island,Lyons,222
07/07/2017,Staten Island,Tottenville,60
07/07/2017,Staten Island,West Brighton,63
07/07/2017,Staten Island,General Douglas,40
07/07/2017,Staten Island,Mariner's Harbor,0
07/07/2017,Staten Island,PS 14 Playground,99
07/07/2017,Staten Island,PS 46 Playground,15
07/08/2017,Brooklyn,Betsy Head,828
07/08/2017,Brooklyn,PS 20 Playground,228
07/08/2017,Brooklyn,Lindower Park,144
07/08/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/08/2017,Brooklyn,Glenwood Houses,13
07/08/2017,Brooklyn,David Fox/PS 251 Pool,77
07/08/2017,Brooklyn,McCarren Park,0
07/08/2017,Brooklyn,Sunset Park,2211
07/08/2017,Brooklyn,Red Hook,2248
07/08/2017,Brooklyn,Kosciuszko,1047
07/08/2017,Brooklyn,Howard,282
07/08/2017,Brooklyn,Douglas and DeGraw,768
07/08/2017,Brooklyn,Commodore Barry,367
07/08/2017,Brooklyn,Bushwick,293
07/08/2017,Bronx,Claremont,519
07/08/2017,Bronx,Edenwald Houses,86
07/08/2017,Bronx,Crotona,2425
07/08/2017,Bronx,Floating Pool,763
07/08/2017,Bronx,Haffen,739
07/08/2017,Bronx,Mapes,738
07/08/2017,Bronx,Mullaly,555
07/08/2017,Bronx,Van Cortlandt,1245
07/08/2017,Bronx,Bronx River Playground,81
07/08/2017,Manhattan,Asser Levy,376
07/08/2017,Manhattan,Tony Dapolito,340
07/08/2017,Manhattan,Dry Dock,347
07/08/2017,Manhattan,Hamilton Fish,1668
07/08/2017,Manhattan,Highbridge,2104
07/08/2017,Manhattan,Jackie Robinson,905
07/08/2017,Manhattan,John Jay,871
07/08/2017,Manhattan,Lasker,3005
07/08/2017,Manhattan,Marcus Garvey,350
07/08/2017,Manhattan,Sheltering Arms,350
07/08/2017,Manhattan,Thomas Jefferson,1125
07/08/2017,Manhattan,Wagner,272
07/08/2017,Manhattan,Abe Lincoln,62
07/08/2017,Manhattan,Frederick Douglass,85
07/08/2017,Manhattan,Vesuvio,129
07/08/2017,Manhattan,Tompkins Square,71
07/08/2017,Queens,Astoria,682
07/08/2017,Queens,Fisher,663
07/08/2017,Queens,Liberty,445
07/08/2017,Queens,Totten,575
07/08/2017,Queens,Marie Curie Park,212
07/08/2017,Queens,Astoria Hts PS 10,0
07/09/2017,Queens,Astoria,3248
07/08/2017,Queens,PS 186 Playground,58
07/08/2017,Queens,Windmuller,394
07/08/2017,Staten Island,Faber,311
07/08/2017,Staten Island,Lyons,537
07/08/2017,Staten Island,Tottenville,319
07/08/2017,Staten Island,West Brighton,203
07/08/2017,Staten Island,General Douglas,30
07/08/2017,Staten Island,Mariner's Harbor,0
07/08/2017,Staten Island,PS 14 Playground,82
07/08/2017,Staten Island,PS 46 Playground,49
07/09/2017,Brooklyn,Betsy Head,1013
07/09/2017,Brooklyn,PS 20 Playground,181
07/09/2017,Brooklyn,Lindower Park,255
07/09/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/09/2017,Brooklyn,Glenwood Houses,37
07/09/2017,Brooklyn,David Fox/PS 251 Pool,101
07/09/2017,Brooklyn,McCarren Park,3330
07/09/2017,Brooklyn,Sunset Park,2232
07/09/2017,Brooklyn,Red Hook,967
07/09/2017,Brooklyn,Kosciuszko,1158
07/09/2017,Brooklyn,Howard,233
07/09/2017,Brooklyn,Douglas and DeGraw,768
07/09/2017,Brooklyn,Commodore Barry,189
07/09/2017,Brooklyn,Bushwick,50
07/09/2017,Bronx,Claremont,523
07/09/2017,Bronx,Edenwald Houses,100
07/09/2017,Bronx,Crotona,1866
07/09/2017,Bronx,Floating Pool,840
07/09/2017,Bronx,Haffen,598
07/09/2017,Bronx,Mapes,644
07/09/2017,Bronx,Mullaly,575
07/09/2017,Bronx,Van Cortlandt,1807
07/09/2017,Bronx,Bronx River Playground,100
07/09/2017,Manhattan,Asser Levy,574
07/09/2017,Manhattan,Tony Dapolito,391
07/09/2017,Manhattan,Dry Dock,391
07/09/2017,Manhattan,Hamilton Fish,2665
07/09/2017,Manhattan,Highbridge,2860
07/09/2017,Manhattan,Jackie Robinson,995
07/09/2017,Manhattan,John Jay,825
07/09/2017,Manhattan,Lasker,2299
07/09/2017,Manhattan,Marcus Garvey,498
07/09/2017,Manhattan,Sheltering Arms,356
07/09/2017,Manhattan,Thomas Jefferson,1398
07/09/2017,Manhattan,Wagner,303
07/09/2017,Manhattan,Abe Lincoln,31
07/09/2017,Manhattan,Frederick Douglass,99
07/09/2017,Manhattan,Vesuvio,143
07/09/2017,Manhattan,Tompkins Square,98
07/09/2017,Queens,Fisher,788
07/09/2017,Queens,Liberty,395
07/09/2017,Queens,Totten,657
07/09/2017,Queens,Marie Curie Park,110
07/09/2017,Queens,Astoria Hts PS 10,0
07/09/2017,Queens,PS 186 Playground,80
07/09/2017,Queens,Windmuller,376
07/09/2017,Staten Island,Faber,348
07/09/2017,Staten Island,Lyons,515
07/09/2017,Staten Island,Tottenville,371
07/09/2017,Staten Island,West Brighton,238
07/09/2017,Staten Island,General Douglas,33
07/09/2017,Staten Island,Mariner's Harbor,0
07/09/2017,Staten Island,PS 14 Playground,56
07/09/2017,Staten Island,PS 46 Playground,53
07/10/2017,Brooklyn,Betsy Head,937
07/10/2017,Brooklyn,PS 20 Playground,143
07/10/2017,Brooklyn,Lindower Park,202
07/10/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/10/2017,Brooklyn,Glenwood Houses,32
07/10/2017,Brooklyn,David Fox/PS 251 Pool,60
07/10/2017,Brooklyn,McCarren Park,2000
07/10/2017,Brooklyn,Sunset Park,1466
07/10/2017,Brooklyn,Red Hook,1520
07/10/2017,Brooklyn,Kosciuszko,351
07/10/2017,Brooklyn,Howard,166
07/10/2017,Brooklyn,Douglas and DeGraw,451
07/10/2017,Brooklyn,Commodore Barry,154
07/10/2017,Brooklyn,Bushwick,224
07/10/2017,Bronx,Claremont,376
07/10/2017,Bronx,Edenwald Houses,91
07/10/2017,Bronx,Crotona,1054
