Day,Borough,Swimming Pool,Program Type,Male Registration,Female Registration,Total Registration,Male Attendance,Female Attendance,Total Attendance
08/01/2018,Manhattan,Lasker,Night Owl,5,12,17,24,42,66
07/30/2018,Manhattan,Tony Dapolito,Early Bird,2,0,2,16,14,30
07/31/2018,Manhattan,Lasker,Night Owl,9,15,24,26,41,67
07/30/2018,Manhattan,Lasker,Night Owl,1,5,6,17,20,37
08/03/2018,Manhattan,John Jay,Night Owl,5,4,9,25,23,48
08/02/2018,Manhattan,John Jay,Night Owl,5,6,11,21,23,44
08/01/2018,Manhattan,John Jay,Night Owl,5,10,15,23,29,52
07/30/2018,Manhattan,Asser Levy,Early Bird,3,0,3,19,30,49
07/31/2018,Manhattan,John Jay,Night Owl,5,10,15,35,37,72
07/30/2018,Manhattan,John Jay,Night Owl,6,8,14,30,13,43
08/03/2018,Manhattan,Hamilton Fish,Night Owl,4,8,12,44,31,75
08/02/2018,Manhattan,Hamilton Fish,Night Owl,2,10,12,45,41,86
08/01/2018,Manhattan,Hamilton Fish,Night Owl,3,5,8,50,31,81
07/27/2018,Bronx,Crotona,Early Bird,0,0,0,3,7,10
07/31/2018,Manhattan,Hamilton Fish,Night Owl,1,3,4,46,44,90
07/30/2018,Manhattan,Hamilton Fish,Night Owl,8,3,11,53,36,89
07/27/2018,Bronx,Van Cortlandt,Early Bird,1,2,3,19,17,36
08/03/2018,Manhattan,Tony Dapolito,Night Owl,1,4,5,13,15,28
08/02/2018,Manhattan,Tony Dapolito,Night Owl,1,2,3,3,13,16
08/01/2018,Manhattan,Tony Dapolito,Night Owl,0,2,2,12,9,21
07/31/2018,Manhattan,Tony Dapolito,Night Owl,2,2,4,15,14,29
07/30/2018,Manhattan,Tony Dapolito,Night Owl,3,4,7,6,9,15
07/27/2018,Brooklyn,Sunset,Early Bird,3,5,8,34,35,69
08/03/2018,Manhattan,Asser Levy,Night Owl,2,3,5,14,11,25
08/02/2018,Manhattan,Asser Levy,Night Owl,4,2,6,15,17,32
08/01/2018,Manhattan,Asser Levy,Night Owl,0,1,1,27,21,48
07/31/2018,Manhattan,Asser Levy,Night Owl,3,7,10,14,21,35
07/30/2018,Manhattan,Asser Levy,Night Owl,0,1,1,6,14,20
07/27/2018,Brooklyn,Red Hook,Early Bird,1,3,4,35,57,92
07/27/2018,Staten Island,Lyons,Early Bird,0,0,0,6,9,15
07/27/2018,Bronx,Crotona,Night Owl,0,0,0,0,0,0
07/27/2018,Bronx,Van Cortlandt,Night Owl,0,0,0,0,0,0
07/27/2018,Brooklyn,McCarren,Night Owl,0,1,1,0,0,0
07/27/2018,Queens,Astoria,Early Bird,2,5,7,52,51,103
07/27/2018,Brooklyn,Sunset,Night Owl,0,0,0,0,0,0
07/27/2018,Brooklyn,Red Hook,Night Owl,0,0,0,0,0,0
07/27/2018,Staten Island,Lyons,Night Owl,0,0,0,0,0,0
07/27/2018,Queens,Astoria,Night Owl,0,1,1,0,0,0
07/27/2018,Manhattan,Marcus Garvey,Night Owl,0,0,0,0,0,0
07/27/2018,Manhattan,Lasker,Night Owl,0,0,0,0,0,0
07/27/2018,Manhattan,John Jay,Night Owl,0,0,0,0,0,0
07/27/2018,Manhattan,Hamilton Fish,Night Owl,0,0,0,0,0,0
07/26/2018,Bronx,Crotona,Early Bird,2,0,2,5,2,7
07/27/2018,Manhattan,Tony Dapolito,Night Owl,0,0,0,0,0,0
07/27/2018,Manhattan,Asser Levy,Night Owl,0,0,0,0,0,0
07/26/2018,Bronx,Van Cortlandt,Early Bird,2,2,4,21,19,40
07/26/2018,Bronx,Crotona,Night Owl,0,0,0,7,2,9
07/26/2018,Bronx,Van Cortlandt,Night Owl,2,1,3,8,18,26
07/26/2018,Brooklyn,McCarren,Early Bird,2,4,6,50,42,92
07/26/2018,Brooklyn,McCarren,Night Owl,13,15,28,51,76,127
07/26/2018,Brooklyn,Sunset,Night Owl,5,7,12,25,24,49
07/26/2018,Brooklyn,Red Hook,Night Owl,2,4,6,19,13,32
07/26/2018,Staten Island,Lyons,Night Owl,3,0,3,8,12,20
07/26/2018,Queens,Astoria,Night Owl,7,6,13,36,42,78
07/27/2018,Brooklyn,McCarren,Early Bird,6,6,12,73,72,145
07/26/2018,Manhattan,Marcus Garvey,Night Owl,6,6,12,16,16,32
07/26/2018,Brooklyn,Sunset,Early Bird,1,1,2,31,27,58
07/26/2018,Manhattan,Lasker,Night Owl,9,11,20,33,39,72
07/26/2018,Manhattan,John Jay,Night Owl,5,14,19,19,33,52
07/26/2018,Manhattan,Hamilton Fish,Night Owl,5,8,13,54,39,93
07/26/2018,Brooklyn,Red Hook,Early Bird,1,3,4,31,30,61
07/26/2018,Manhattan,Tony Dapolito,Night Owl,4,1,5,18,17,35
07/26/2018,Manhattan,Asser Levy,Night Owl,3,3,6,11,14,25
07/26/2018,Staten Island,Lyons,Early Bird,0,0,0,9,13,22
07/26/2018,Queens,Astoria,Early Bird,0,0,0,46,44,90
07/25/2018,Manhattan,Jackie Robinson,Early Bird,0,0,0,0,5,5
07/25/2018,Bronx,Crotona,Night Owl,0,0,0,1,1,2
07/25/2018,Bronx,Van Cortlandt,Night Owl,0,0,0,6,4,10
07/26/2018,Manhattan,Jackie Robinson,Early Bird,1,3,4,6,26,32
07/25/2018,Manhattan,Marcus Garvey,Night Owl,0,0,0,6,3,9
07/25/2018,Brooklyn,McCarren,Night Owl,3,1,4,18,10,28
07/25/2018,Brooklyn,Sunset,Night Owl,0,0,0,12,10,22
07/25/2018,Brooklyn,Red Hook,Night Owl,2,1,3,12,6,18
07/26/2018,Manhattan,Thomas Jefferson,Early Bird,2,0,2,10,13,23
07/25/2018,Staten Island,Lyons,Night Owl,0,1,1,2,6,8
07/25/2018,Queens,Astoria,Night Owl,1,0,1,18,20,38
07/25/2018,Bronx,Crotona,Early Bird,0,0,0,2,3,5
07/25/2018,Manhattan,Lasker,Night Owl,2,2,4,20,8,28
07/25/2018,Manhattan,John Jay,Night Owl,2,2,4,16,11,27
07/25/2018,Bronx,Van Cortlandt,Early Bird,0,0,0,5,1,6
07/25/2018,Brooklyn,McCarren,Early Bird,0,1,1,15,18,33
07/25/2018,Manhattan,Tony Dapolito,Night Owl,1,0,1,4,5,9
07/25/2018,Brooklyn,Sunset,Early Bird,0,0,0,0,0,0
07/25/2018,Brooklyn,Red Hook,Early Bird,1,0,1,7,2,9
07/25/2018,Staten Island,Lyons,Early Bird,0,0,0,5,5,10
07/25/2018,Queens,Astoria,Early Bird,1,2,3,21,18,39
07/27/2018,Manhattan,Thomas Jefferson,Early Bird,0,0,0,6,16,22
07/27/2018,Manhattan,Lasker,Early Bird,4,4,8,38,157,195
07/25/2018,Manhattan,Thomas Jefferson,Early Bird,0,1,1,2,8,10
07/27/2018,Manhattan,Jackie Robinson,Early Bird,1,2,3,13,31,44
07/06/2018,Manhattan,Jackie Robinson,Early Bird,3,11,14,6,22,28
07/05/2018,Manhattan,Jackie Robinson,Early Bird,10,29,39,10,29,39
07/26/2018,Manhattan,Lasker,Early Bird,6,5,11,33,44,77
07/25/2018,Manhattan,Lasker,Early Bird,0,0,0,11,19,30
07/24/2018,Manhattan,Lasker,Early Bird,3,5,8,25,41,66
07/23/2018,Manhattan,Lasker,Early Bird,1,0,1,14,18,32
07/20/2018,Manhattan,Lasker,Early Bird,3,12,15,47,44,91
07/19/2018,Manhattan,Lasker,Early Bird,7,6,13,36,44,80
07/18/2018,Manhattan,Lasker,Early Bird,6,8,14,38,52,90
07/17/2018,Manhattan,Lasker,Early Bird,2,3,5,31,41,72
07/16/2018,Manhattan,Lasker,Early Bird,10,10,20,43,52,95
07/13/2018,Manhattan,Lasker,Early Bird,6,10,16,42,49,91
07/12/2018,Manhattan,Lasker,Early Bird,3,7,10,24,33,57
07/11/2018,Manhattan,Lasker,Early Bird,21,15,36,46,45,91
07/10/2018,Manhattan,Lasker,Early Bird,15,28,43,36,50,86
07/09/2018,Manhattan,Lasker,Early Bird,13,19,32,33,43,76
07/06/2018,Manhattan,Lasker,Early Bird,8,4,12,16,14,30
07/05/2018,Manhattan,Lasker,Early Bird,30,47,77,30,47,77
07/05/2018,Manhattan,Hamilton Fish,Night Owl,52,47,99,52,47,99
07/06/2018,Manhattan,Hamilton Fish,Night Owl,16,12,28,41,24,65
07/09/2018,Manhattan,Hamilton Fish,Night Owl,27,39,66,62,64,126
07/10/2018,Manhattan,Hamilton Fish,Night Owl,24,20,44,57,50,107
07/11/2018,Manhattan,Hamilton Fish,Night Owl,17,21,38,55,48,103
07/12/2018,Manhattan,Hamilton Fish,Night Owl,13,13,26,53,38,91
07/13/2018,Manhattan,Hamilton Fish,Night Owl,7,16,23,74,60,134
07/16/2018,Manhattan,Hamilton Fish,Night Owl,23,14,37,74,60,134
07/17/2018,Manhattan,Hamilton Fish,Night Owl,0,4,4,20,15,35
07/18/2018,Manhattan,Hamilton Fish,Night Owl,6,7,13,57,44,101
07/19/2018,Manhattan,Hamilton Fish,Night Owl,8,7,15,46,39,85
07/20/2018,Manhattan,Hamilton Fish,Night Owl,8,9,17,43,32,75
07/23/2018,Manhattan,Hamilton Fish,Night Owl,11,5,16,56,41,97
07/24/2018,Manhattan,Hamilton Fish,Night Owl,7,1,8,56,35,91
07/25/2018,Manhattan,Hamilton Fish,Night Owl,3,2,5,31,20,51
07/05/2018,Manhattan,Asser Levy,Night Owl,7,6,13,12,11,23
07/06/2018,Manhattan,Asser Levy,Night Owl,7,6,13,12,11,23
07/09/2018,Manhattan,Asser Levy,Night Owl,17,13,30,23,20,43
07/10/2018,Manhattan,Asser Levy,Night Owl,7,16,23,19,28,47
07/11/2018,Manhattan,Asser Levy,Night Owl,4,9,13,16,20,36
07/12/2018,Manhattan,Asser Levy,Night Owl,1,3,4,9,19,28
07/13/2018,Manhattan,Asser Levy,Night Owl,3,4,7,10,14,24
07/16/2018,Manhattan,Asser Levy,Night Owl,3,9,12,14,26,40
07/17/2018,Manhattan,Asser Levy,Night Owl,2,1,3,7,8,15
07/18/2018,Manhattan,Asser Levy,Night Owl,3,5,8,11,22,33
07/19/2018,Manhattan,Asser Levy,Night Owl,1,2,3,7,15,22
07/20/2018,Manhattan,Asser Levy,Night Owl,3,6,9,12,17,29
07/23/2018,Manhattan,Asser Levy,Night Owl,4,3,7,11,15,26
07/24/2018,Manhattan,Asser Levy,Night Owl,1,2,3,14,16,30
07/25/2018,Manhattan,Asser Levy,Night Owl,0,2,2,89,9,98
07/26/2018,Manhattan,John Jay,Early Bird,4,2,6,35,34,69
07/25/2018,Manhattan,John Jay,Early Bird,0,1,1,7,16,23
07/24/2018,Manhattan,John Jay,Early Bird,2,1,3,32,31,63
07/23/2018,Manhattan,John Jay,Early Bird,0,0,0,15,22,37
07/20/2018,Manhattan,John Jay,Early Bird,13,28,41,37,51,88
07/19/2018,Manhattan,John Jay,Early Bird,2,4,6,32,43,75
07/18/2018,Manhattan,John Jay,Early Bird,8,4,12,37,47,84
07/17/2018,Manhattan,John Jay,Early Bird,2,6,8,24,34,58
07/16/2018,Manhattan,John Jay,Early Bird,8,13,21,33,56,89
07/26/2018,Manhattan,Hamilton Fish,Early Bird,1,1,2,53,42,95
07/25/2018,Manhattan,Hamilton Fish,Early Bird,1,1,2,22,12,34
07/24/2018,Manhattan,Hamilton Fish,Early Bird,3,1,4,57,39,96
07/23/2018,Manhattan,Hamilton Fish,Early Bird,1,0,1,15,14,29
07/20/2018,Manhattan,Hamilton Fish,Early Bird,8,10,18,70,74,144
07/19/2018,Manhattan,Hamilton Fish,Early Bird,5,5,10,66,49,115
07/18/2018,Manhattan,Hamilton Fish,Early Bird,8,8,16,74,63,137
07/17/2018,Manhattan,Hamilton Fish,Early Bird,11,9,20,74,64,138
07/16/2018,Manhattan,Hamilton Fish,Early Bird,12,11,23,74,58,132
07/13/2018,Manhattan,Hamilton Fish,Early Bird,4,8,12,68,64,132
07/12/2018,Manhattan,Hamilton Fish,Early Bird,7,6,13,63,44,107
07/11/2018,Manhattan,Hamilton Fish,Early Bird,11,17,28,74,57,131
07/10/2018,Manhattan,Hamilton Fish,Early Bird,27,9,36,77,39,116
07/26/2018,Manhattan,Tony Dapolito,Early Bird,0,1,1,10,20,30
07/25/2018,Manhattan,Tony Dapolito,Early Bird,1,0,1,7,5,12
07/24/2018,Manhattan,Tony Dapolito,Early Bird,1,0,1,14,16,30
07/23/2018,Manhattan,Tony Dapolito,Early Bird,0,0,0,5,7,12
07/20/2018,Manhattan,Tony Dapolito,Early Bird,1,1,2,13,18,31
07/19/2018,Manhattan,Tony Dapolito,Early Bird,2,2,4,14,21,35
07/18/2018,Manhattan,Tony Dapolito,Early Bird,1,1,2,14,15,29
07/17/2018,Manhattan,Tony Dapolito,Early Bird,3,6,9,13,19,32
07/16/2018,Manhattan,Tony Dapolito,Early Bird,3,5,8,14,17,31
07/26/2018,Manhattan,Asser Levy,Early Bird,0,0,0,21,20,41
07/25/2018,Manhattan,Asser Levy,Early Bird,1,0,1,7,5,12
07/24/2018,Manhattan,Asser Levy,Early Bird,0,0,0,20,18,38
07/23/2018,Manhattan,Asser Levy,Early Bird,1,0,1,15,14,29
07/20/2018,Manhattan,Asser Levy,Early Bird,4,1,5,23,29,52
07/19/2018,Manhattan,Asser Levy,Early Bird,3,6,9,25,26,51
07/18/2018,Manhattan,Asser Levy,Early Bird,3,1,4,22,24,46
07/17/2018,Manhattan,Asser Levy,Early Bird,4,5,9,19,30,49
07/16/2018,Manhattan,Asser Levy,Early Bird,2,4,6,21,33,54
07/13/2018,Manhattan,John Jay,Early Bird,8,15,23,30,46,76
07/12/2018,Manhattan,John Jay,Early Bird,3,6,9,22,38,60
07/11/2018,Manhattan,John Jay,Early Bird,11,13,24,42,46,88
07/10/2018,Manhattan,John Jay,Early Bird,34,33,67,30,38,68
07/09/2018,Manhattan,John Jay,Early Bird,20,20,40,36,38,74
07/06/2018,Manhattan,John Jay,Early Bird,23,34,57,30,49,79
07/05/2018,Manhattan,John Jay,Early Bird,35,40,75,14,16,30
07/09/2018,Manhattan,Hamilton Fish,Early Bird,4,8,12,68,64,132
07/06/2018,Manhattan,Hamilton Fish,Early Bird,7,3,10,15,39,54
07/05/2018,Manhattan,Hamilton Fish,Early Bird,57,46,103,57,46,103
07/13/2018,Manhattan,Tony Dapolito,Early Bird,1,4,5,14,19,33
07/12/2018,Manhattan,Tony Dapolito,Early Bird,6,5,11,11,18,29
07/11/2018,Manhattan,Tony Dapolito,Early Bird,7,5,12,21,17,38
07/10/2018,Manhattan,Tony Dapolito,Early Bird,8,7,15,15,18,33
07/09/2018,Manhattan,Tony Dapolito,Early Bird,7,5,12,17,17,34
07/06/2018,Manhattan,Tony Dapolito,Early Bird,1,3,4,6,10,16
07/05/2018,Manhattan,Tony Dapolito,Early Bird,9,15,24,9,15,24
07/13/2018,Manhattan,Asser Levy,Early Bird,4,3,7,15,27,42
07/12/2018,Manhattan,Asser Levy,Early Bird,1,3,4,15,31,46
07/11/2018,Manhattan,Asser Levy,Early Bird,9,9,18,23,30,53
07/10/2018,Manhattan,Asser Levy,Early Bird,5,9,14,20,24,44
07/09/2018,Manhattan,Asser Levy,Early Bird,9,12,21,19,30,49
07/06/2018,Manhattan,Asser Levy,Early Bird,7,5,12,10,10,20
07/05/2018,Manhattan,Asser Levy,Early Bird,13,25,38,13,25,38
